StationCode,SampleDate,Replicate,CollectionMethodCode,SampleTypeCode,BAResult,Result,FinalID
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,6,NA,Achnanthidium exiguum var heterovalvum
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,225,NA,Achnanthidium minutissimum
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,2,NA,Adlafia minuscula
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,8,NA,Adlafia suchlandtii
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,1,NA,Amphora copulata
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,1,NA,Amphora inariensis
000CAT148,8/10/10,1,Algae_SWAMP,Microalgae,NA,17451.5,Chantransia sp 1
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,25,NA,Cocconeis placentula var euglypta
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,2,NA,Diatoma mesodon
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,12,NA,Geissleria acceptata
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,173,NA,Gomphonema micropus
000CAT148,8/10/10,1,Algae_SWAMP,Microalgae,NA,471.793,Heteroleibleinia kossinskajae
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,2,NA,Meridion circulare var constrictum
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,14,NA,Navicula cryptocephala
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,8,NA,Navicula menisculus
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,7,NA,Navicula perminuta
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,2,NA,Navicula radiosa
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,9,NA,Nitzschia frustulum
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,2,NA,Nitzschia inconspicua
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,5,NA,Nitzschia perspicua
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,3,NA,Nitzschia recta
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,1,NA,Pinnularia mesolepta
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,72,NA,Planothidium lanceolatum
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,2,NA,Planothidium peragallii
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,8,NA,Reimeria sinuata
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,2,NA,Rhoicosphenia abbreviata
000CAT148,8/10/10,1,Algae_SWAMP,Integrated,8,NA,Sellaphora seminulum
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,233,NA,Achnanthidium minutissimum
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,18,NA,Amphora pediculus
102PS0139,8/9/10,1,Algae_SWAMP,Microalgae,NA,62024.7,Chamaesiphon incrustans
102PS0139,8/9/10,1,Algae_SWAMP,Microalgae,NA,2360000,Chamaesiphon minutus
102PS0139,8/9/10,1,Algae_SWAMP,Microalgae,NA,49619.7,Chamaesiphon starmachii
102PS0139,8/9/10,1,Algae_SWAMP,Microalgae,NA,576829,Chlorosaccus fluidus
102PS0139,8/9/10,1,Algae_SWAMP,Qualitative,NA,NA,Cladophora glomerata
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,115,NA,Cocconeis placentula var euglypta
102PS0139,8/9/10,1,Algae_SWAMP,Qualitative,NA,NA,Coleodesmium wrangelii
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,1,NA,Diadesmis
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,4,NA,Encyonema minutum
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,42,NA,Gomphoneis olivaceoides
102PS0139,8/9/10,1,Algae_SWAMP,Integrated,6,NA,Gomphonema
102PS0139,8/9/10,1,Algae_SWAMP,Microalgae,NA,539947,Gongrosira debaryana
