FinalIDassigned,AlgaeList,Habit,BCG,BCG45,BCG12,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TaxonomicGroup,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus1,orig.FinalID
Achnanthaceae,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,,
Achnanthales,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,,,
Achnanthes,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes acares,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes biasolettiana var subatomus,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes brevipes,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes brevipes var intermedia,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes coarctata,Diatom_2012,BN,0,,,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,,OM,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes crenulata,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes exigua,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes inflata,Diatom_2012,BN,0,,,,,,,,,NM,,,,FB,FB,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes ingratiformis,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lacus-vulcani,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lewisiana,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes lutheri,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes ricula,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes saxonica,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes subhudsonis,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes subhudsonis var kraeuselii,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes taeniata,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthes ventralis,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,
Achnanthidiaceae,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,,
Achnanthidium,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium alpestre,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium atomus,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthidium biasolettianum,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,FB,FB,,,M,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,
Achnanthidium catenatum,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
