,prop.spp.Salinity.BF,prop.spp.HighMotility,prop.ind.most.tol,prop.spp.BCG3,Type
000CAT148_8.10.10_1,1.042214272,0.8339498,NA,1.749844629,ref
000CAT228_8.10.10_1,1.430311208,NA,1.445942049,1.118053099,ref
102PS0177_8.28.12_1,NA,1.749844629,0.901937182,1.232633369,ref
102PS0177_8.28.12_2,1.735930621,1.139397749,1.139381684,NA,ref
103CDCHHR_9.14.10_1,1.044899164,1.088857782,NA,1.577398792,ref
103CDCHHR_9.14.10_2,1.316958575,NA,1.252549498,0.776169093,ref
103KLCMSR_9.14.10_1,NA,1.300066413,1.139397749,1.027194474,ref
103STCNSR_8.9.11_1,1.73387057,1.139397749,1.439356257,NA,ref
103WER026_8.15.12_1,1.1298649,1.047622667,NA,1.101859451,ref
103WER026_8.15.12_2,1.432188151,NA,1.749844629,0.609847145,ref
103WER029_7.16.14_1,NA,1.749844629,NA,0,ref
103WER030_8.10.11_1,1.738743428,1.139397749,NA,NA,ref
105BVCAGC_9.21.10_1,1.130101888,1.439356257,NA,1.070377752,ref
105CE0329_7.23.14_1,1.430803245,NA,NA,0,ref
105CLCATC_8.10.10_1,NA,1.345044235,1.139397749,0.616316685,ref
105DLCDCC_10.20.09_1,1.742229067,0.612232479,1.139381684,NA,ref
105DLCDCC_5.19.09_1,1.129477443,0.725841504,NA,1.605566628,ref
105DLCDCC_6.23.09_1,1.315871176,NA,1.365967686,1.027110981,ref
105DLCDCC_8.5.09_1,NA,0.971382333,0.956735774,1.303746833,ref
105DLCDCC_9.15.09_1,1.737526571,0.974658602,1.251872149,NA,ref
105FCA116_7.16.13_1,1.129463501,1.439356257,NA,0.312193511,ref
105FS0416_9.24.13_1,1.319678712,NA,1.166351676,0.780604345,ref
105FS0425_8.10.11_1,NA,1.749844629,1.139397749,0.385197928,ref
105FS0428_8.3.11_1,1.741293683,0.700093358,1.189377446,NA,ref
105NWC151_6.26.13_1,1.047534867,0.719413444,NA,1.113771445,ref
105PS0043_9.17.08_1,1.319502186,NA,1.188793712,0.562935826,ref
105PS0083_9.8.09_1,NA,1.300066413,1.007475211,1.027194474,ref
105PS0090_8.25.09_1,1.47323446,0.899777172,0.893947942,NA,ref
105PS0090_8.7.12_1,1.136983377,1.439356257,NA,1.021724218,ref
105PS0097_7.22.14_1,1.432586197,NA,NA,0,ref
105PS0097_9.8.09_1,NA,1.496844383,0.990984894,1.155593783,ref
105PS0097_9.8.09_2,1.604247639,0.787954236,0.83940711,NA,ref
105PS0154_8.9.11_1,1.045903668,1.039787996,NA,1.198823082,ref
105PS0154_8.9.11_2,1.428354324,NA,1.535325161,0.860960675,ref
105PS0193_8.29.12_1,NA,1.075177306,0.875552674,1.369592632,ref
105PS0195_8.7.12_1,1.738848442,0.963675992,1.439356257,NA,ref
105PS0259_9.17.13_1,1.138842284,0.851755873,NA,1.101859451,ref
105PS0267_7.21.14_1,1.433104724,NA,1.274171026,0.636362238,ref
105PS0468_9.1.09_1,NA,0.882415213,0.800168367,1.100565508,ref
105PS0540_9.15.10_1,1.603439845,0.660156595,1.303004178,NA,ref
105PS0660_8.3.10_1,0.95617655,0.662417971,NA,1.498528853,ref
